t,z(t),v(t),F(t) (added)
12.20009,-1.730035,-0.7005883,173.0035
12.22009,-1.743354,-0.6659877,174.3354
12.24009,-1.755977,-0.6311206,175.5977
12.26009,-1.767897,-0.596001,176.7897
12.28009,-1.779109,-0.5606431,177.9109
12.30009,-1.789611,-0.5250609,178.9611
12.32009,-1.799396,-0.4892687,179.9396
12.34009,-1.808462,-0.4532808,180.8462
12.36009,-1.816804,-0.4171115,181.6804
12.38009,-1.82442,-0.3807755,182.442
12.40009,-1.831305,-0.3442871,183.1305
12.42009,-1.837459,-0.307661,183.7459
12.44009,-1.842877,-0.2709118,184.2877
12.4601,-1.847558,-0.2340543,184.7558
12.4801,-1.8515,-0.1971031,185.15
12.5001,-1.854701,-0.1600731,185.4701
12.5201,-1.857161,-0.1229791,185.7161
12.5401,-1.858878,-0.08583586,185.8878
12.5601,-1.859851,-0.0486583,185.9851
12.5801,-1.86008,-0.01146128,186.008
